Gene Symbol,Role in Cancer
ABI1,TSG
ABL1,oncogene
ABL2,oncogene
ACKR3,oncogene
ACSL3,
ACSL6,
ACVR1,oncogene
ACVR2A,TSG
AFF1,oncogene
AFF3,oncogene
AFF4,oncogene
AKAP9,oncogene
AKT1,oncogene
AKT2,oncogene
ALDH2,TSG
ALK,oncogene
AMER1,TSG
APC,TSG
APOBEC3B,oncogene/TSG
AR,oncogene
ARHGAP26,TSG
ARHGEF12,TSG
ARID1A,TSG
ARID1B,TSG
ARID2,TSG
ARNT,oncogene/TSG
ASPSCR1,oncogene
ASXL1,TSG
ATF1,
ATIC,oncogene
ATM,TSG
ATP1A1,oncogene/TSG
ATP2B3,TSG
ATR,TSG
ATRX,TSG
AXIN1,TSG
AXIN2,TSG
B2M,TSG
BAP1,TSG
BCL10,oncogene/TSG
BCL11A,oncogene
BCL11B,oncogene/TSG
BCL2,oncogene
BCL3,oncogene
BCL5,oncogene
BCL6,oncogene
BCL7A,oncogene
BCL9,oncogene
BCL9L,oncogene/TSG
BCOR,TSG
BCORL1,oncogene/TSG
BCR,oncogene
BIRC3,oncogene/TSG
BLM,TSG
BMPR1A,oncogene/TSG
BRAF,oncogene
BRCA1,TSG
BRCA2,TSG
BRD3,oncogene
BRD4,oncogene
BRIP1,TSG
BTG1,TSG
BTK,oncogene/TSG
BUB1B,TSG
C12orf9,
C15orf65,
C2orf44,oncogene
CACNA1D,oncogene
CALR,oncogene
CAMTA1,TSG
CANT1,oncogene
CARD11,oncogene
CARS,oncogene/TSG
CASC5,
CASP8,TSG
CBFA2T3,
CBFB,TSG
CBL,oncogene/TSG
CBLB,TSG
CBLC,oncogene/TSG
CCDC6,TSG
CCNB1IP1,TSG
CCND1,oncogene
CCND2,oncogene
CCND3,oncogene
CCNE1,oncogene
CD274,TSG
CD74,oncogene
CD79A,oncogene
CD79B,oncogene
CDC73,TSG
CDH1,TSG
CDH11,TSG
CDK12,TSG
CDK4,oncogene
CDK6,oncogene
CDKN1B,TSG
CDKN2A,TSG
CDKN2A(p14),
CDKN2C,TSG
CDX2,TSG
CEBPA,TSG
CEP89,
CHCHD7,
CHD4,oncogene
CHEK2,TSG
CHIC2,
CIC,oncogene/TSG
CIITA,TSG
CLIP1,
CLP1,
CLTC,TSG
CLTCL1,TSG
CNBP,TSG
CNOT3,TSG
CNTRL,
COL1A1,oncogene
COL2A1,oncogene
COX6C,
CREB1,oncogene
CREB3L1,TSG
CREB3L2,oncogene
CREBBP,oncogene/TSG
CRLF2,oncogene
CRTC1,oncogene
CRTC3,
CSF3R,oncogene
CTCF,TSG
CTNNB1,oncogene
CUX1,oncogene/TSG
CXCR4,oncogene
CYLD,TSG
DAXX,oncogene/TSG
DCTN1,
DDB2,oncogene/TSG
DDIT3,TSG
DDR2,oncogene
DDX10,TSG
DDX3X,TSG
DDX5,oncogene
DDX6,
DEK,
DICER1,TSG
DNAJB1,
DNM2,
DNMT3A,TSG
DROSHA,TSG
DUX4L1,
EBF1,
ECT2L,
EGFR,
EIF3E,
EIF4A2,
ELF4,
ELK4,
ELL,
ELN,
EML4,
EP300,
EPAS1,oncogene/TSG
EPS15,
ERBB2,oncogene
ERBB3,oncogene
ERBB4,oncogene/TSG
ERC1,
ERCC2,TSG
ERCC3,
ERCC4,
ERCC5,
ERG,
ESR1,
ETNK1,
ETV1,
ETV4,
ETV5,
ETV6,
EWSR1,
EXT1,
EXT2,
EZH2,oncogene/TSG
EZR,oncogene
FAM131B,
FAM46C,
FANCA,
FANCC,
FANCD2,
FANCE,
FANCF,
FANCG,
FAS,
FAT1,TSG
FAT4,TSG
FBXO11,
FBXW7,
FCGR2B,
FCRL4,
FES,oncogene/TSG
FEV,
FGFR1,
FGFR1OP,
FGFR2,
FGFR3,
FGFR4,
FH,
FHIT,
FIP1L1,
FLCN,
FLI1,
FLT3,oncogene
FLT4,
FNBP1,
FOXA1,
FOXL2,
FOXO1,oncogene/TSG
FOXO3,oncogene/TSG
FOXO4,oncogene/TSG
FOXP1,oncogene
FSTL3,
FUBP1,
FUS,oncogene
GAS7,
GATA1,oncogene/TSG
GATA2,oncogene
GATA3,oncogene/TSG
GMPS,
GNA11,
GNAQ,
GNAS,
GOLGA5,
GOPC,
GPC3,
GPHN,
GRIN2A,
H3F3A,
H3F3B,
HERPUD1,
HEY1,
HIF1A,oncogene
HIP1,
HIST1H3B,
HIST1H4I,
